korkeakoulu;ensisijaiset_hakijat;kaikki_hakijat;paikan_vastaanottaneet
Aalto-yliopisto;8 690;12 571;2 526
Centria-ammattikorkeakoulu;2 239;3 542;881
Diakonia-ammattikorkeakoulu;3 584;9 040;954
Haaga-Helia ammattikorkeakoulu;9 528;16 856;3 040
Helsingin yliopisto;18 462;25 533;4 699
Humanistinen ammattikorkeakoulu;1 355;2 636;434
Hämeen ammattikorkeakoulu;5 644;12 269;2 210
Itä-Suomen yliopisto;7 776;16 226;2 740
Jyväskylän ammattikorkeakoulu;7 857;17 751;2 230
Jyväskylän yliopisto;7 915;15 861;2 379
Kaakkois-Suomen Ammattikorkeakoulu;5 722;11 450;2 641
Kajaanin ammattikorkeakoulu;1 458;3 702;625
Karelia-ammattikorkeakoulu;2 106;4 616;971
Lahden ammattikorkeakoulu;4 007;11 098;1 227
Lapin ammattikorkeakoulu;3 741;7 272;1 820
Lapin yliopisto;1 638;4 683;723
Lappeenrannan teknillinen yliopisto;3 106;5 932;1 064
Laurea-ammattikorkeakoulu;10 082;21 888;2 148
Maanpuolustuskorkeakoulu;573;743;148
Metropolia Ammattikorkeakoulu;16 731;31 600;4 412
Oulun ammattikorkeakoulu;6 612;12 327;2 364
Oulun yliopisto;7 147;12 151;2 325
Saimaan ammattikorkeakoulu;2 472;5 876;981
Satakunnan ammattikorkeakoulu;3 374;6 733;1 518
Savonia-ammattikorkeakoulu;4 668;8 942;1 709
Seinäjoen ammattikorkeakoulu;2 976;6 516;1 308
Svenska handelshögskolan;995;1 420;433
Taideyliopisto;3 423;3 732;311
Tampereen ammattikorkeakoulu;11 715;22 868;2 835
Tampereen teknillinen yliopisto;2 724;4 882;1 250
Tampereen yliopisto;9 922;18 233;2 218
Tieto puuttuu;55;55;16
Turun ammattikorkeakoulu;8 335;16 422;2 565
Turun yliopisto;10 494;20 135;2 799
Vaasan ammattikorkeakoulu;1 650;4 600;806
Vaasan yliopisto;2 318;5 577;788
Yrkeshögskolan Arcada;1 933;3 983;700
Yrkeshögskolan Novia;1 710;2 761;1 021
Åbo Akademi;1 853;2 940;959
Yhteensä;190 837;190 891;64 625
